[2, 3]	[14357, 328]
[20, 21]	[14248, 455]
[36, 37]	[14353, 431]
[42, 43]	[14338, 449]
[58, 59]	[14367, 451]
[64, 65]	[14315, 465]
[86, 87]	[14289, 497]
[108, 109]	[14166, 527]
[18, 19]	[14357, 432]
[22, 23]	[14327, 468]
[38, 39]	[14331, 449]
[4, 5]	[14348, 357]
[44, 45]	[14263, 441]
[66, 67]	[14478, 469]
[88, 89]	[14364, 492]
[110, 111]	[14152, 530]
[24, 25]	[14403, 426]
[46, 47]	[14420, 452]
[6, 7]	[14439, 363]
[68, 69]	[14345, 463]
[90, 91]	[14304, 504]
[112, 113]	[14158, 533]
[26, 27]	[14366, 449]
[48, 49]	[14333, 426]
[70, 71]	[14617, 459]
[8, 9]	[14400, 367]
[92, 93]	[14260, 513]
[114, 115]	[14348, 527]
[120, 121]	[14251, 529]
[28, 29]	[14338, 448]
[50, 51]	[14349, 446]
[72, 73]	[14411, 370]
[94, 95]	[14288, 516]
[10, 11]	[14484, 347]
[100, 101]	[14340, 524]
[116, 117]	[14129, 531]
[122, 123]	[14339, 500]
[30, 31]	[14235, 450]
[52, 53]	[14366, 451]
[74, 75]	[14470, 465]
[80, 81]	[14408, 488]
[96, 97]	[14365, 501]
[102, 103]	[14365, 519]
[118, 119]	[14154, 516]
[12, 13]	[14523, 356]
[124, 125]	[14519, 507]
[32, 33]	[14329, 435]
[54, 55]	[14165, 463]
[60, 61]	[14323, 449]
[76, 77]	[14472, 472]
[82, 83]	[14317, 493]
[98, 99]	[14314, 513]
[104, 105]	[14406, 518]
[126, 127]	[15327, 482]
[14, 15]	[14403, 329]
[0, 1]	[14299, 343]
[34, 35]	[14317, 451]
[40, 41]	[14295, 445]
[56, 57]	[14428, 429]
[62, 63]	[14385, 461]
[78, 79]	[14538, 488]
[84, 85]	[14472, 497]
[106, 107]	[14290, 525]
[16, 17]	[14423, 430]
